,pChEMBL,Canomicalsmiles
169,9.0,CCC(CC)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2OC)ncc1Cl
170,9.0,CNC1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)NC(C)C)n3)c(OC)c2F)C1
171,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OC3CCN(C(C)=O)CC3)cc2OC)ncc1Br
172,9.0,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NCC(C)C)n1
173,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(C(=O)N3CCN(C)CC3)ccc2OC)ncc1Br
174,9.0,CC(C)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OC3CCN(C)CC3)cc2F)ncc1Cl
175,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(O)CC3)cc2OC)ncc1Cl
176,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OCC3CCN(C)CC3)ccc2OC)ncc1Cl
177,9.0,CCNC(=O)c1cc(F)ccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl
178,9.0,CNC(=O)c1cc(N2CCN(C)CC2)ccc1Nc1nc(Nc2cccc3c2ccn3C)ncc1Cl
179,9.0,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc3c2C(=O)N(C)C3)n1
180,9.0,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C2CC2)n1
181,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C)CC3)ccc2OC)ncc1Cl
182,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(C(=O)N3CCNCC3)ccc2C)ncc1Br
183,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC)c(N3CCN(C)CC3)cc2OC)ncc1Cl
184,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Cl
185,9.0,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
